ST,sugar-beet-2011,spring-barley-2012,sugar-beet-2014,soybean-000-2015,sugar-beet-2017
30.00,0.985768,0.377217,0.952439,0.983324,0.866296
40.00,0.272747,0.105312,0.031305,0.075047,0.085062
50.00,0.048095,0.102851,0.003390,0.017567,0.027218
60.00,0.110143,0.100588,0.000562,0.006362,0.007137
70.00,0.111759,0.102508,0.000963,0.012356,0.001553
80.00,0.082266,0.103138,0.001198,0.014574,0.000431
90.00,0.067161,0.102637,0.001121,0.014067,0.000394
100.00,0.045926,0.103219,0.000906,0.011792,0.000488
200.00,0.145512,0.993586,0.013402,0.046106,0.015517
