ST,sugar-beet-2011,spring-barley-2012,sugar-beet-2014,soybean-000-2015,sugar-beet-2017
30.00,nan,nan,0.999672,1.000290,nan
40.00,nan,nan,0.000701,0.000374,nan
50.00,nan,nan,0.000000,0.000000,nan
60.00,nan,nan,0.000000,0.000000,nan
70.00,nan,nan,0.000000,0.000000,nan
80.00,nan,nan,0.000000,0.000000,nan
90.00,nan,nan,0.000000,0.000000,nan
100.00,nan,nan,0.000000,0.000000,nan
200.00,nan,nan,0.000000,0.000000,nan
