Si,sugar-beet-2011,spring-barley-2012,sugar-beet-2014,soybean-000-2015,sugar-beet-2017
30.00,0.641553,0.006737,0.950183,0.907959,0.864459
40.00,0.004788,0.001791,0.030168,0.013435,0.084229
50.00,-0.002121,0.001351,0.002386,0.000946,0.026641
60.00,-0.001623,0.000113,0.000005,-0.000075,0.006525
70.00,-0.000131,0.000102,0.000469,0.000448,0.001230
80.00,-0.000484,0.001620,0.000765,0.000653,0.000008
90.00,0.000071,-0.000878,0.000693,0.000058,0.000091
100.00,-0.000814,0.000930,0.000480,0.000505,0.000195
200.00,-0.001714,0.487858,0.012155,0.001291,0.014745
