Si,sugar-beet-2011,spring-barley-2012,sugar-beet-2014,soybean-000-2015,sugar-beet-2017
30.00,0.990370,0.588371,0.576115,0.982327,0.467000
40.00,0.007545,0.036284,0.009257,0.002212,0.388298
50.00,0.000108,0.011931,-0.000487,0.000206,0.113069
60.00,0.000193,0.002770,0.000317,0.000273,0.018785
70.00,0.000286,0.000979,-0.000903,-0.000138,0.000565
80.00,0.000193,0.000764,-0.000389,0.000349,0.000785
90.00,0.000108,0.000086,-0.000922,0.000341,0.002150
100.00,0.000059,0.000168,-0.000021,0.000151,0.002231
200.00,0.000096,0.000775,-0.000030,0.000068,0.001323
