ST,sugar-beet-2011,spring-barley-2012,sugar-beet-2014,soybean-000-2015,sugar-beet-2017
30.00,0.999876,0.998898,0.962235,0.996443,0.999860
40.00,0.000000,0.000472,0.005111,0.112501,0.000000
50.00,0.000000,0.000896,0.001039,0.024847,0.000000
60.00,0.000000,0.000191,0.000557,0.022810,0.000000
70.00,0.000000,0.000165,0.000467,0.022896,0.000000
80.00,0.000000,0.000167,0.000437,0.016871,0.000000
90.00,0.000000,0.000173,0.000426,0.014403,0.000000
100.00,0.000000,0.000183,0.000422,0.014690,0.000000
200.00,0.000000,0.000360,0.030861,0.060597,0.000000
